,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
63,63,,Arctic Char,Arctic char,148,Drawing a Flank,8/21/2012,,http://en.wikipedia.org/wiki/Arctic_char,"Arctic char or Arctic charr, Salvelinus alpinus, is a cold-water fish in the family Salmonidae, native to Arctic, sub-Arctic and alpine lakes and coastal waters. It breeds in fresh water, and populations can be either landlocked or anadromous, migrating to the sea. No other freshwater fish is found as far north; it is, for instance, the only fish species in Lake Hazen on Ellesmere Island in the Canadian Arctic. It is one of the rarest fish species in Britain, found only in deep, cold, glacial lakes, and is at risk from acidification. "
64,64,,Armenian String Cheese,String cheese,100,Everything's Rosy,10/11/2011,,http://en.wikipedia.org/wiki/String_cheese,"Several different types of cheese are known as string cheese. It is peelable and when peeled, it does so in strings or strips from the larger cheese. The manufacturing process aligns the proteins in the cheese, which make it stringy.
"
65,65,,Artichoke Liqueur,Artichoke,179,Heads Up!,4/2/2013,,http://en.wikipedia.org/wiki/Artichoke,"The globe artichoke (Cynara cardunculus var. scolymus) is a variety of a species of thistle cultivated as a food. The edible portion of the plant consists of the flower buds before the flowers come into bloom. The budding artichoke flower-head is a cluster of many budding small flowers (an inflorescence) together with many bracts, on an edible base. "
66,66,,Artichokes,Artichoke,9,"Mac & Cheese, Cola, Bacon",3/10/2009,,http://en.wikipedia.org/wiki/Artichoke,"The globe artichoke (Cynara cardunculus var. scolymus) is a variety of a species of thistle cultivated as a food. The edible portion of the plant consists of the flower buds before the flowers come into bloom. The budding artichoke flower-head is a cluster of many budding small flowers (an inflorescence) together with many bracts, on an edible base. "
67,67,,Artichokes,Artichoke,33,Flower Power,3/14/2010,,http://en.wikipedia.org/wiki/Artichoke,"The globe artichoke (Cynara cardunculus var. scolymus) is a variety of a species of thistle cultivated as a food. The edible portion of the plant consists of the flower buds before the flowers come into bloom. The budding artichoke flower-head is a cluster of many budding small flowers (an inflorescence) together with many bracts, on an edible base. "
68,68,,Artichokes,Artichoke,82,Gotta Grill!,5/31/2011,This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners and the ovens were off-limits throughout the competition. The chefs were also given pre-soaked cedar planks that they could use if they wished.,http://en.wikipedia.org/wiki/Artichoke,"The globe artichoke (Cynara cardunculus var. scolymus) is a variety of a species of thistle cultivated as a food. The edible portion of the plant consists of the flower buds before the flowers come into bloom. The budding artichoke flower-head is a cluster of many budding small flowers (an inflorescence) together with many bracts, on an edible base. "
69,69,,Artichokes,Artichoke,163,Belly Up,1/1/2013,"Chef Klette-Kolton is the business partner of Lauren Gerrie, runner-up of the second Chopped Champions tournament.",http://en.wikipedia.org/wiki/Artichoke,"The globe artichoke (Cynara cardunculus var. scolymus) is a variety of a species of thistle cultivated as a food. The edible portion of the plant consists of the flower buds before the flowers come into bloom. The budding artichoke flower-head is a cluster of many budding small flowers (an inflorescence) together with many bracts, on an edible base. "
70,70,,Arugula,Eruca sativa,,Dread and Breakfast,3/18/2014,"The three rounds this time were Breakfast, lunch, and dinner.",http://en.wikipedia.org/wiki/Eruca_sativa,"Eruca sativa (syn. E. vesicaria subsp. sativa (Miller) Thell., Brassica eruca L.) is an edible annual plant, commonly known as salad rocket, roquette, rucola, rugula, colewort, and, in the United States, arugula. It is sometimes conflated with Diplotaxis tenuifolia, the perennial wall rocket, another plant of the Brassicaceae family, which in the past was used in the same manner. "
71,71,,Asian Long Beans,Vigna unguiculata subsp. sesquipedalis,149,Stacking Up,9/4/2012,,http://en.wikipedia.org/wiki/Vigna_unguiculata_subsp._sesquipedalis,"Vigna unguiculata subsp. sesquipedalis is a legume cultivated to be eaten as green pods. It is known as the yardlong bean, bora, long-podded cowpea, asparagus bean, pea bean, snake bean, or Chinese long bean. Despite the common name, the pods are actually only about half a yard long; the subspecies name sesquipedalis (one-and-a-half-foot-long) is a rather exact approximation of the pods' length.
"
72,72,,Asian Long Beans,Vigna unguiculata subsp. sesquipedalis,229,Ambitious Amateurs,2/4/2014,All the chefs are amateurs. Tommy wanted to donate the money to the victims of Hurricane Sandy.,http://en.wikipedia.org/wiki/Vigna_unguiculata_subsp._sesquipedalis,"Vigna unguiculata subsp. sesquipedalis is a legume cultivated to be eaten as green pods. It is known as the yardlong bean, bora, long-podded cowpea, asparagus bean, pea bean, snake bean, or Chinese long bean. Despite the common name, the pods are actually only about half a yard long; the subspecies name sesquipedalis (one-and-a-half-foot-long) is a rather exact approximation of the pods' length.
"
73,73,,Asian Pears,Asian pear,12,"Chocolate, Mussels and Figs",3/31/2009,,http://en.wikipedia.org/wiki/Asian_pear,Fruit commonly known as the Asian pear in different parts of the world include:
74,74,,Asian Pears,Asian pear,15,High Hopes,6/23/2009,,http://en.wikipedia.org/wiki/Asian_pear,Fruit commonly known as the Asian pear in different parts of the world include:
75,75,,Asian Pears,Asian pear,84,Bite Your Pickled Beef Tongue,6/14/2011,,http://en.wikipedia.org/wiki/Asian_pear,Fruit commonly known as the Asian pear in different parts of the world include:
76,76,,Asian Pears,Asian pear,111,Chop on Through,1/3/2012,"Chef Nichols is a chef at Landmarc, owned by Chopped judge Marc Murphy.",http://en.wikipedia.org/wiki/Asian_pear,Fruit commonly known as the Asian pear in different parts of the world include:
77,77,,Asian Steamed Buns,Mantou,132,Grilltastic!,5/29/2012,"This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners. In contrast to the previous two grilling-themed episodes, the ovens were kept on and the chefs were allowed to use them.",http://en.wikipedia.org/wiki/Mantou,"Mantou, often referred to as Chinese steamed bun/bread, is a type of steamed bread or bun originating in China. They are typically eaten as a staple in northern parts of China where wheat, rather than rice, is grown. They are made with milled wheat flour, water and leavening agents. In size and texture, they range from 4 cm, soft and fluffy in the most elegant restaurants, to over 15 cm, firm and dense for the working man's lunch. "
78,78,Jerky,Asian Style Beef Jerky,,90,Sweet Second Chance!,7/26/2011,"This episode featured four past non-winners. This was the first ""redemption"" episode to feature a non-runner-up as well as the first to feature two chefs from the same previous episode. Chef Magris slipped and fell during the entrée round. She spilled boiling water on herself, causing second-degree burns on both her legs. The judges gave Chef Magris the option to bow out of the competition before the judging in that round, but she elected to continue. Although Chef Nitahara won, he gave the $10,000 prize to Chef Magris so she could visit her ill grandmother in France.",,
79,79,,Asparagus,Asparagus,39,Chopped Liver,5/2/2010,,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
80,80,,Asparagus,Asparagus,44,Mussels Mastery & Cotton Candy Can-Do,5/4/2010,,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
81,81,,Asparagus,Asparagus,77,Chefs on a Mission,4/26/2011,,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
82,82,,Asparagus,Asparagus,156,Unsung Heroes,11/6/2012,"This episodes featured four ""unsung heroes"": people who volunteer in their communities.",http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
83,83,,Asparagus,Asparagus,200,Break a Crab Leg!,7/30/2013,Chef Marino works with frequent Chopped judge Alex Guarnaschelli at The Darby.,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
84,84,,Astronaut Ice Cream,Freeze-dried ice cream,99,Time & Space,10/4/2011,,http://en.wikipedia.org/wiki/Freeze-dried_ice_cream,"Freeze-dried ice cream is ice cream that has had most of the water removed from it by a freeze-drying process, sealed in a pouch, and requires no refrigeration.
It is also known as astronaut ice cream or space ice cream, typically a slab of ready-to-eat dehydrated ice cream. Compared to regular ice cream, it can be kept at room temperature without melting and is more brittle and rigid but still soft when bitten into. It was developed by Whirlpool Corporation under contract to NASA for the Apollo missions. "
